Country Name,Country Code,Year,Value
Afghanistan,AFG,2014,20841951231.998
Albania,ALB,2014,13370191506.0031
Algeria,DZA,2014,214063173187.56
Andorra,AND,2013,3249100674.84008
Angola,AGO,2014,131400635026.055
Antigua and Barbuda,ATG,2014,1269117037.03704
Argentina,ARG,2014,540197457443.535
Armenia,ARM,2014,10881605059.4369
Aruba,ABW,2011,2584463687.15084
Australia,AUS,2014,1453770210672.04
Austria,AUT,2014,436343622435.169
Azerbaijan,AZE,2014,75198010965.1919
"Bahamas, The",BHS,2014,8510500000
Bahrain,BHR,2014,33868989361.7021
Bangladesh,BGD,2014,173818932215.65
Barbados,BRB,2014,4348000000
Belarus,BLR,2014,76139250364.5185
Belgium,BEL,2014,533382785676.064
Belize,BLZ,2013,1624294250
Benin,BEN,2014,8746992733.49967
Bermuda,BMU,2013,5573710000
Bhutan,BTN,2014,1821412872.84144
Bolivia,BOL,2014,34175832127.3517
Bosnia and Herzegovina,BIH,2014,18344278252.6116
Botswana,BWA,2014,15813371063.1566
Brazil,BRA,2014,2346118175194.26
Brunei Darussalam,BRN,2014,17256754269.1545
Bulgaria,BGR,2014,55734676434.6764
Burkina Faso,BFA,2014,12542969275.204
Burundi,BDI,2014,3093647293.47661
Cabo Verde,CPV,2014,1871187333.50311
Cambodia,KHM,2014,16709432402.6502
Cameroon,CMR,2014,32548591285.8631
Canada,CAN,2014,1786655064509.53
Cayman Islands,CYM,2006,3207032512.94205
Central African Republic,CAF,2014,1782927902.67286
Chad,TCD,2014,13922224560.7939
Channel Islands,CHI,2007,11514605842.3369
Chile,CHL,2014,258061522886.545
China,CHN,2014,10360105247908.3
Colombia,COL,2014,377739622865.838
Comoros,COM,2014,647720102.467518
"Congo, Dem. Rep.",COD,2014,32962261155.6762
"Congo, Rep.",COG,2014,14135462555.8413
Costa Rica,CRI,2014,49552580683.1461
Côte d'Ivoire,CIV,2014,34253611098.3199
Croatia,HRV,2014,57222574023.1725
Cuba,CUB,2013,77149700000
Cyprus,CYP,2014,23226158986.1653
Czech Republic,CZE,2014,205522871251.355
Denmark,DNK,2014,341951607730.409
Djibouti,DJI,2014,1581519705.53068
Dominica,DMA,2014,537777777.777778
Dominican Republic,DOM,2014,63968961563.0973
Ecuador,ECU,2014,100543173000
"Egypt, Arab Rep.",EGY,2014,286538047765.904
El Salvador,SLV,2014,25220000000
Equatorial Guinea,GNQ,2014,14308094224.6898
Eritrea,ERI,2014,3857821138.21138
Estonia,EST,2014,25904874312.3244
Ethiopia,ETH,2014,54797679657.5454
Faeroe Islands,FRO,2013,2613458940.70206
Fiji,FJI,2014,4029989728.8257
Finland,FIN,2014,270673584161.517
France,FRA,2014,2829192039171.84
French Polynesia,PYF,2000,3447543137.9415
Gabon,GAB,2014,17228443336.3648
"Gambia, The",GMB,2014,807069488.191619
Georgia,GEO,2014,16529963187.4044
Germany,DEU,2014,3852556169656.01
Ghana,GHA,2014,38648154100.3714
Greece,GRC,2014,237592274370.978
Greenland,GRL,2009,1267711816.12426
Grenada,GRD,2014,882222222.222222
Guatemala,GTM,2014,58728232327.1514
Guinea,GIN,2014,6624068036.98528
Guinea-Bissau,GNB,2014,1022371991.53467
Guyana,GUY,2014,3228372887.85813
Haiti,HTI,2014,8713031260.18934
Honduras,HND,2014,19385309985.8022
"Hong Kong SAR, China",HKG,2014,290896409543.744
Hungary,HUN,2014,137103927312.973
Iceland,ISL,2014,17071004499.1576
India,IND,2014,2066902397333.26
Indonesia,IDN,2014,888538201025.345
"Iran, Islamic Rep.",IRN,2014,415338504536.257
Iraq,IRQ,2014,220505682865.352
Ireland,IRL,2014,245920712756.466
Isle of Man,IMN,2007,4062367147.6641
Israel,ISR,2014,304226336270.324
Italy,ITA,2014,2144338185064.6
Jamaica,JAM,2013,14362262584.9078
Japan,JPN,2014,4601461206885.08
Jordan,JOR,2014,35826925774.6479
Kazakhstan,KAZ,2014,212247913268.304
Kenya,KEN,2014,60936509777.9628
Kiribati,KIR,2014,166762323.638814
"Korea, Rep.",KOR,2014,1410382943972.78
Kosovo,KSV,2014,7273849011.54305
Kuwait,KWT,2013,175826716255.725
Kyrgyz Republic,KGZ,2014,7404412710.30546
Lao PDR,LAO,2014,11771725797.6299
Latvia,LVA,2014,31920815648.3043
Lebanon,LBN,2014,45730945273.6318
Lesotho,LSO,2014,2088021624.11197
Liberia,LBR,2014,2026939595.31543
Libya,LBY,2014,41119144922.9802
Liechtenstein,LIE,2012,5487773452.44017
Lithuania,LTU,2014,48172242517.2682
Luxembourg,LUX,2013,60130847623.6353
"Macao SAR, China",MAC,2014,55501532528.1462
"Macedonia, FYR",MKD,2014,11323761623.5387
Madagascar,MDG,2014,10593147526.9354
Malawi,MWI,2014,4258033615.3005
Malaysia,MYS,2014,326933043800.609
Maldives,MDV,2014,3032239478.11955
Mali,MLI,2014,12074473001.8115
Malta,MLT,2013,9642848650.1181
Marshall Islands,MHL,2013,190914600
Mauritius,MUS,2014,12616421088.3821
Mexico,MEX,2014,1282719954861.76
"Micronesia, Fed. Sts.",FSM,2013,316245700
Moldova,MDA,2014,7944184929.75006
Monaco,MCO,2011,6074884388.58937
Mongolia,MNG,2014,12015944336.5464
Montenegro,MNE,2014,4583198885.49821
Morocco,MAR,2014,107004984356.97
Mozambique,MOZ,2014,16385584919.0022
Myanmar,MMR,2014,64330038664.7327
Namibia,NAM,2014,13429503284.8968
Nepal,NPL,2014,19636186469.3257
Netherlands,NLD,2014,869508125480.255
New Caledonia,NCL,2000,2682347064.3642
New Zealand,NZL,2013,188384859626.76
Nicaragua,NIC,2014,11805641286.8034
Niger,NER,2014,8168695869.86641
Nigeria,NGA,2014,568508262377.799
Norway,NOR,2014,500103094419.465
Oman,OMN,2014,81796618985.6957
Pakistan,PAK,2014,246876324188.576
Palau,PLW,2014,250625562.7941
Panama,PAN,2014,46212600000
Papua New Guinea,PNG,2013,15413163674.9224
Paraguay,PRY,2014,30984747863.3426
Peru,PER,2014,202902760292.698
Philippines,PHL,2014,284582023120.566
Poland,POL,2014,548003360278.967
Portugal,PRT,2014,229583711490.434
Puerto Rico,PRI,2013,103134778000
